id|gender_x|age_x|height_x|edu_x|salary_x|nation_x|car_x|house_x|body_x|face_x|hair_x|smoke_x|drink_x|child_x|parent_x|bmi_x|where0_x|where1_x|marriage0_x|marriage1_x|look0_x|look1_x|where2_x|gender_y|age_y|height_y|edu_y|salary_y|nation_y|car_y|house_y|body_y|face_y|hair_y|smoke_y|drink_y|child_y|parent_y|bmi_y|where0_y|where1_y|marriage0_y|marriage1_y|look0_y|look1_y|where2_y
50720813|F|30|164|1|0.0|1|0|0|0.0|0|5|1|-1|1|-1|26.5|-1|-1|1|0|0|0|3|M|39|179|-1|0|1|0|1|2.0|0|0|-4|-1|1|0|22.0|-1|-1|0|0|0|0|3
12910476|F|31|168|2|-1.0|1|-1|0|0.0|0|5|3|1|0|0|26.0|0|0|0|0|0|0|2|M|41|177|-1|0|1|-1|1|0.0|1|-1|-1|0|1|0|21.666666666666668|0|0|1|1|1|1|2
4529381|F|28|158|2|0.0|1|-1|0|0.0|0|5|1|0|1|0|25.0|0|0|1|1|0|0|0|M|43|165|0|0|1|-1|1|0.0|0|0|3|1|1|1|32.5|0|0|1|1|0|0|0
3326065|F|33|165|3|-1.0|1|-1|0|1.0|0|0|0|0|0|0|80.0|1|0|0|0|0|0|3|M|32|183|2|1|1|1|1|2.0|1|-1|-4|0|1|1|26.666666666666668|1|0|0|0|0|0|3
4886667|F|39|165|2|-1.0|1|0|0|0.0|0|3|1|1|0|0|27.5|0|0|1|1|0|0|2|M|49|172|0|0|1|1|1|2.0|1|-1|3|1|1|0|37.5|0|0|1|1|0|0|1
64409494|F|24|162|2|0.0|0|0|0|0.0|0|0|0|0|0|0|-1.0|-1|1|0|0|0|0|2|M|24|183|0|-1|1|-1|0|-1.0|0|-1|3|-1|1|0|20.666666666666668|-1|1|0|0|1|1|2
3186270|F|29|162|3|0.0|1|-1|0|-1.0|0|2|1|1|1|1|24.0|0|-1|0|0|0|0|4|M|36|180|-1|-1|1|-1|1|-1.0|0|0|-1|0|1|0|21.666666666666668|0|0|0|0|1|1|3
2153070|F|28|158|2|-1.0|1|-1|0|-1.0|0|5|0|0|1|-1|22.5|0|-1|0|0|0|0|1|M|32|168|0|0|1|-1|0|2.0|0|0|0|0|0|0|31.0|0|-1|0|0|0|0|1
1389869|F|34|172|3|0.0|1|-1|0|0.0|0|0|0|0|0|0|30.0|0|-1|0|0|0|0|4|M|39|178|2|1|1|-1|0|0.0|0|0|0|0|0|0|23.333333333333332|0|-1|0|0|0|0|4
18679763|F|28|163|5|-1.0|1|0|0|0.0|0|5|0|0|0|0|26.0|0|0|0|0|1|0|0|M|31|172|0|1|1|-1|0|0.0|1|0|1|0|1|0|31.5|0|-1|0|0|0|1|4
